PVALUE;PTN;XP;YP;ZP
1;1;8209.6;6200.0;381.0
1;2;8184.4;6254.2;381.0
1;3;8109.2;6326.3;381.0
1;4;8037.0;6365.2;381.0
1;5;8095.7;6354.6;381.0
1;6;8140.2;6331.4;381.0
1;7;8174.6;6298.1;381.0
1;8;8201.9;6263.8;381.0
1;9;8223.1;6236.5;381.0
1;10;8236.0;6200.0;381.0
2;1;7600.0;6497.2;382.0
2;2;7616.2;6530.9;383.8
2;3;7638.8;6570.3;382.8
2;4;7666.9;6606.8;383.0
2;5;7702.0;6629.7;383.7
2;6;7738.6;6628.3;384.1
2;7;7769.6;6626.9;384.4
2;8;7800.5;6628.3;384.7
2;9;7838.5;6632.5;385.1
2;10;7877.9;6632.5;385.5
2;11;7917.5;6612.5;385.9
2;12;7944.2;6612.5;386.2
2;13;7997.7;6609.7;386.9
2;14;8040.0;6612.5;387.1
2;15;8079.3;6623.7;387.5
2;16;8121.6;6632.1;388.0
2;17;8164.9;6649.4;388.4
2;18;8197.3;6662.0;388.6
2;19;8221.2;6676.1;389.0
2;20;8246.5;6688.7;389.2
2;21;8278.9;6712.6;389.7
2;22;8308.4;6730.9;390.1
2;23;8346.4;6747.7;390.5
2;24;8377.4;6751.9;390.8
2;25;8400.0;6755.8;391.0
3;1;7600.0;6606.8;390.0
3;2;7658.6;6649.4;390.0
3;3;7714.9;6666.7;390.0
3;4;7751.4;6681.3;390.0
3;5;7787.1;6714.3;390.0
3;6;7833.1;6686.9;390.0
3;7;7868.7;6667.1;390.0
3;8;7897.7;6663.7;390.0
3;9;7930.2;6654.9;390.0
3;10;7953.1;6656.3;390.0
3;11;7976.8;6659.0;390.0
3;12;8002.5;6660.3;390.0
3;13;8026.1;6658.3;390.0
3;14;8051.1;6659.0;390.0
3;15;8074.8;6658.3;390.0
3;16;8098.4;6660.3;390.0
3;17;8134.9;6666.4;390.0
3;18;8166.0;6673.1;390.0
3;19;8199.8;6707.0;390.0
3;20;8246.5;6715.7;390.0
3;21;8282.8;6733.2;390.0
3;22;8346.4;6747.7;390.0
4;1;7600.0;6327.9;395.0
4;2;7647.0;6373.9;395.0
4;3;7670.2;6396.0;395.0
4;4;7687.1;6438.2;395.0
4;5;7706.2;6464.8;395.0
4;6;7718.3;6481.3;395.0
4;7;7726.3;6565.0;395.0
4;8;7808.8;6528.2;395.0
4;9;7876.7;6578.7;395.0
4;10;7933.3;6559.0;395.0
4;11;7995.1;6560.0;395.0
4;12;8051.5;6575.8;395.0
4;13;8103.5;6584.5;395.0
4;14;8167.0;6590.2;395.0
4;15;8217.6;6606.8;395.0
4;16;8282.3;6651.7;395.0
4;17;8348.4;6670.0;395.0
4;18;8400.0;6677.1;395.0
5;1;7600.0;6665.9;395.0
5;2;7642.7;6699.9;395.0
5;3;7690.3;6714.3;395.0
5;4;7726.5;6714.3;395.0
5;5;7746.5;6724.7;395.0
5;6;7787.0;6764.1;395.0
5;7;7826.1;6731.6;395.0
5;8;7878.8;6725.8;395.0
5;9;7932.9;6720.4;395.0
5;10;7981.5;6710.2;395.0
5;11;8035.6;6722.4;395.0
5;12;8095.7;6719.0;395.0
5;13;8136.7;6748.9;395.0
5;14;8195.9;6763.3;395.0
5;15;8253.7;6766.2;395.0
5;16;8286.9;6796.5;395.0
5;17;8333.1;6795.1;395.0
5;18;8363.5;6809.5;395.0
5;19;8400.0;6820.4;395.0
6;1;7600.0;6736.3;401.0
6;2;7651.3;6761.9;401.0
6;3;7706.2;6764.8;401.0
6;4;7736.7;6770.9;401.0
6;5;7788.6;6809.5;401.0
6;6;7831.9;6764.8;401.0
6;7;7886.8;6777.8;401.0
6;8;7948.4;6779.1;401.0
6;9;8001.8;6762.2;401.0
6;10;8047.1;6782.1;401.0
6;11;8094.8;6773.4;401.0
6;12;8123.7;6795.1;401.0
6;13;8135.6;6815.8;401.0
6;14;8167.0;6805.2;401.0
6;15;8226.3;6809.5;401.0
6;16;8269.6;6845.6;401.0
6;17;8315.8;6841.2;401.0
6;18;8346.1;6862.9;401.0
6;19;8363.5;6888.8;401.0
6;20;8400.0;6911.7;401.0
7;1;7600.0;6258.0;401.0
7;2;7623.8;6273.8;401.0
7;3;7638.3;6303.2;401.0
7;4;7675.9;6329.2;401.0
7;5;7696.1;6373.9;401.0
7;6;7719.2;6422.9;401.0
7;7;7733.7;6454.7;401.0
7;8;7739.7;6538.6;401.0
7;9;7812.0;6514.7;401.0
7;10;7853.6;6526.8;401.0
7;11;7883.9;6551.3;401.0
7;12;7930.5;6542.1;401.0
7;13;8000.9;6539.8;401.0
7;14;8055.8;6557.1;401.0
7;15;8119.4;6564.3;401.0
7;16;8175.7;6567.2;401.0
7;17;8191.8;6570.7;401.0
7;18;8279.5;6626.4;401.0
7;19;8328.7;6615.2;401.0
7;20;8359.7;6606.8;401.0
7;21;8400.0;6612.5;401.0
8;1;7600.0;6812.3;407.0
8;2;7660.0;6822.5;407.0
8;3;7723.6;6805.2;407.0
8;4;7742.8;6809.8;407.0
8;5;7785.7;6848.4;407.0
8;6;7837.3;6816.2;407.0
8;7;7885.3;6816.7;407.0
8;8;7967.7;6813.8;407.0
8;9;7998.2;6809.8;407.0
8;10;8022.6;6823.9;407.0
8;11;8083.2;6825.4;407.0
8;12;8099.2;6854.7;407.0
8;13;8126.6;6849.9;407.0
8;14;8174.3;6845.6;407.0
8;15;8211.8;6852.8;407.0
8;16;8239.3;6881.6;407.0
8;17;8302.8;6880.2;407.0
8;18;8315.8;6922.0;407.0
8;19;8304.3;6948.0;407.0
8;20;8344.7;6975.4;407.0
8;21;8400.0;7000.0;407.0
9;1;7600.0;6200.0;407.0
9;2;7623.8;6224.6;407.0
9;3;7657.6;6235.8;407.0
9;4;7686.0;6268.6;407.0
9;5;7702.6;6294.9;407.0
9;6;7727.9;6313.3;407.0
9;7;7736.6;6381.1;407.0
9;8;7740.6;6414.3;407.0
9;9;7751.0;6435.9;407.0
9;10;7760.2;6508.2;407.0
9;11;7813.8;6498.6;407.0
9;12;7859.3;6509.5;407.0
9;13;7889.7;6529.7;407.0
9;14;7930.1;6523.9;407.0
9;15;8006.7;6521.0;407.0
9;16;8058.7;6535.4;407.0
9;17;8120.8;6548.4;407.0
9;18;8185.8;6545.5;407.0
9;19;8205.9;6551.5;407.0
9;20;8280.9;6595.5;407.0
9;21;8320.3;6574.4;407.0
9;22;8350.5;6541.2;407.0
9;23;8375.2;6532.3;407.0
9;24;8400.0;6529.5;407.0
10;1;7600.0;6860.5;411.0
10;2;7687.5;6857.1;411.0
10;3;7732.2;6847.0;411.0
10;4;7748.9;6848.6;411.0
10;5;7787.1;6885.9;411.0
10;6;7826.0;6861.2;411.0
