 ID; EAST; NORTH;ELEV TOE; ELEV COLLAR; LENGTH; AZ; DIP; MATERIAL
289;551021.94;64721.78;3415;3430;0;0;-90;Blasthole
290;551014.31;64724.22;3415;3430;0;0;-90;Blasthole
291;551006.69;64726.67;3415;3430;0;0;-90;Blasthole
292;550999.06;64729.11;3415;3430;0;0;-90;Blasthole
293;550991.5;64731.56;3415;3430;0;0;-90;Blasthole
294;550983.88;64734;3415;3430;0;0;-90;Blasthole
295;550976.25;64736.45;3415;3430;0;0;-90;Blasthole
296;550968.63;64738.89;3415;3430;0;0;-90;Blasthole
297;550961;64741.33;3415;3430;0;0;-90;Blasthole
298;550953.38;64743.78;3415;3430;0;0;-90;Blasthole
299;550945.75;64746.22;3415;3430;0;0;-90;Blasthole
300;550938.13;64748.67;3415;3430;0;0;-90;Blasthole
301;550930.5;64751.11;3415;3430;0;0;-90;Blasthole
302;550922.94;64753.56;3415;3430;0;0;-90;Blasthole
303;550915.31;64756;3415;3430;0;0;-90;Blasthole
304;550907.69;64758.44;3415;3430;0;0;-90;Blasthole
305;550900.06;64760.94;3415;3430;0;0;-90;Blasthole
340;550894.13;64755.61;3415;3430;0;0;-90;Blasthole
341;550901.69;64753.11;3415;3430;0;0;-90;Blasthole
342;550909.38;64750.62;3415;3430;0;0;-90;Blasthole
343;550917;64748.18;3415;3430;0;0;-90;Blasthole
344;550924.63;64745.73;3415;3430;0;0;-90;Blasthole
345;550932.25;64743.29;3415;3430;0;0;-90;Blasthole
346;550939.81;64740.85;3415;3430;0;0;-90;Blasthole
347;550947.44;64738.4;3415;3430;0;0;-90;Blasthole
348;550955.06;64735.96;3415;3430;0;0;-90;Blasthole
349;550962.69;64733.51;3415;3430;0;0;-90;Blasthole
350;550970.31;64731.07;3415;3430;0;0;-90;Blasthole
351;550977.94;64728.62;3415;3430;0;0;-90;Blasthole
352;550985.56;64726.18;3415;3430;0;0;-90;Blasthole
353;550993.19;64723.74;3415;3430;0;0;-90;Blasthole
354;551000.75;64721.29;3415;3430;0;0;-90;Blasthole
355;551008.38;64718.85;3415;3430;0;0;-90;Blasthole
356;551016;64716.4;3415;3430;0;0;-90;Blasthole
